Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
1;dolnośląskie;bolesławiecki;Gmina;Bolesławiec;Lipiany;Budowa boiska wielofunkcyjnego;87200
2;dolnośląskie;bolesławiecki;Gmina;Bolesławiec;Parkoszów;Budowa boiska wielofunkcyjnego;79500
3;dolnośląskie;bolesławiecki;Gmina;Nowogrodziec;Nowogrodziec, ul. Sienkiewicza 8;Budowa bieżni prostej 60-metrowej, skoczni w dal i rzutni do pchnięcia kulą;100000
4;dolnośląskie;dzierżoniowski;Gmina Miejska;Dzierżoniów;Dzierżoniów, ul. Sikorskiego;Rozbudowa siłowni plenerowej i placu zabaw;261700
5;dolnośląskie;dzierżoniowski;Gmina;Piława Górna;Piława Górna, ul. Kościuszki;Budowa hali sportowej;3200000
6;dolnośląskie;głogowski;Gmina;Żukowice;Nielubia;Budowa boiska wielofunkcyjnego;190000
7;dolnośląskie;górowski;Gmina;Góra;Góra, ul. Szkolna 2;"Budowa krytej pływalni ""Dolnośląski Delfinek"" wraz z kręgielnią";1289300
8;dolnośląskie;kamiennogórski;Gmina Miejska;Lubawka;Lubawka, ul. Mickiewicza 4;Budowa sali gimnastycznej;1946500
9;dolnośląskie;kłodzki;Gmina Miejska;Duszniki-Zdrój;Duszniki- Zdrój, ul. Olimpijska;Modernizacja obiektu biathlonu zimowego i letniego - etap II;5300000
10;dolnośląskie;kłodzki;Gmina Miejska;Kłodzko;Kłodzko, Plac Bolesława Chrobrego 1;Modernizacja sali gimnastycznej z zapleczem;336300
11;dolnośląskie;kłodzki;Gmina;Lewin Kłodzki;Lewin Kłodzki;Budowa bieżni prostej o dł 60 m 3-torowej, skoczni w dal i siłowni zewnętrznej - II etap;100000
12;dolnośląskie;kłodzki;Miasto i Gmina;Międzylesie;Domaszków, ul. Międzyleska 37;Budowa budynku zaplecza przy kompleksie boisk;256400
13;dolnośląskie;kłodzki;Gmina;Nowa Ruda;Bożków 89E;Dobudowa sali gimnastycznej do budynku szkoły - etap I;962300
14;dolnośląskie;kłodzki;Gmina;Stronie Śląskie;Stronie Śląskie, ul. Kościelna 12;Budowa sali gimnastycznej;915200
15;dolnośląskie;legnicki;Gmina;Legnica;Legnica, ul. Głogowska 50;Budowa modernizacja boiska wielofunkcyjnego i modernizacja sali gimnastycznej;287700
16;dolnośląskie;lubański;Gmina;Leśna;Pobiedna, ul. Hetmańska;Budowa boiska wielofunkcyjnego;130000
17;dolnośląskie;lubański;Gmina Miejska;Lubań;Lubań, ul. Mickiewicza 1;Budowa boiska wielofunkcyjnego, bieżni prostej o dł. 60 m, skoczni do skoku w dal oraz rzutni do pchnięcia kulą;143900
18;dolnośląskie;lubiński;Powiat;Lubiński;Szklary Górne 51c;Budowa boiska wielofunkcyjnego;151100
19;dolnośląskie;lubiński;Gmina;Ścinawa;Buszkowice, Dłużyce, Przychowa, Ręszów, Dziewin, Lasowice, Redlice, Sitno, Chełmek Wołowski, Jurcz, Tymowa, Dziesław;Budowa 12 placów zabaw;250000
20;dolnośląskie;lwówecki;Gmina i Miasto;Lwówek Śląski;Płóczki Górne;Budowa boiska wielofunkcyjnego;108500
21;dolnośląskie;lwówecki;Gmina;Mirsk;Rębiszów;Budowa boiska wielofunkcyjnego;158000
22;dolnośląskie;m. Jelenia Góra;Miasto;Jelenia Góra;Jelenia Góra, ul. Lotnictwa 1;Budowa boiska wielofunkcyjnego;89700
23;dolnośląskie;m. Wałbrzych;Gmina;Wałbrzych;Wałbrzych, ul. Wańkowicza 13;Budowa boiska wielofunkcyjnego, skoczni do skoku w dal oraz siłowni plenerowej;200000
24;dolnośląskie;m. Wrocław;Klub sportowy;1 Ślęza Wrocław;Wrocław, Kłokoczycka 5;Budowa boisk piłkarskich na terenie kompleksu sportowego;680200
25;dolnośląskie;m. Wrocław;AWF;AWF we Wrocławiu;Wrocław, ul.Mickiewicza 94-96;Modernizacja  oświetlenia i nagłośnienia obiektów sportowych;142200
26;dolnośląskie;m. Wrocław;AWF;AWF we Wrocławiu;Wrocław, ul. Ignacego Jana Paderewskiego 35;Budowa zaplecza sanitarno-szatniowego i instalacji nagłośnienia dla boisk sportowych;1396800
27;dolnośląskie;m. Wrocław;Gmina;Wrocław;Wrocław, ul. Stanisławowska 38-44;Budowa sali gimnastycznej, boiska wielofunkcyjnego i bieżni prostej 80-metrowej;1965800
28;dolnośląskie;oleśnicki;Gmina;Dobroszyce;Dobrzeń, Dobrzeń 10A;Dobudowa sali gimnastycznej;1165500
29;dolnośląskie;oleśnicki;Miasto;Oleśnica;Oleśnica;Budowa boiska wielofunkcyjnego i siłowni zewnętrznej i placu zabaw oraz budowa siłowni zewnętrznych i placów zabaw;160000
30;dolnośląskie;oławski;Gmina Miasto;Oława;Oława, ul. Kamienna 8;Budowa boiska wielofunkcyjnego oraz placu zabaw;180000
31;dolnośląskie;oławski;Gmina Miasto;Oława;Oława, ul. Broniewskiego 6;Modernizacja sali gimnastycznej;141100
32;dolnośląskie;polkowicki;Gmina;Chocianów;Chocianów, ul. Wesoła 16;Budowa pływalni - Dolnośląski Delfinek;1300000
33;dolnośląskie;polkowicki;Gmina;Gaworzyce;Gaworzyce, ul. Szkolna 211;Budowa skateparku;129400
34;dolnośląskie;polkowicki;Gmina;Grębocice;Grębocice, ul. Szkolna;Modernizacja boiska wielofunkcyjnego i kortu tenisowego;88600
35;dolnośląskie;strzeliński;Gmina;Borów;Borów, ul. Wrocławska 24;Modernizacja boiska wielofunkcyjnego, bieżni prostej i skoczni do skoku w dal;384100
36;dolnośląskie;strzeliński;Gmina;Przeworno;Przeworno, ul. Kolejowa 4d;Budowa boiska piłkarskiego;221400
37;dolnośląskie;strzeliński;Gmina;Strzelin;Strzelin, ul. Okulickiego 10;Budowa kortu tenisowego i lodowiska sezonowego;410000
38;dolnośląskie;średzki;Gmina;Kostomłoty;Kostomłoty, ul. Wrocławska 10;Budowa boiska wielofunkcyjnego;167000
39;dolnośląskie;średzki;Gmina;Miękinia;Lutynia;Budowa hali sportowej;1800800
40;dolnośląskie;średzki;Gmina;Środa Śląska;Rakoszyce, ul. Wrocławska 44;Budowa boiska piłkarskiego ze sztuczną nawierzchnią;140000
41;dolnośląskie;świdnicki;Gmina;Jaworzyna Śląska;Jaworzyna Śląska;Budowa sali gimnastycznej;3200000
42;dolnośląskie;świdnicki;Gmina;Strzegom;Strzegom, ul. Jana Kochanowskiego;"Budowa krytej pływalni ""Dolnośląski Delfinek""";1300000
43;dolnośląskie;świdnicki;Gmina Miasto;Świdnica;Świdnica, ul. Śląska 35a;Przebudowa kompleksu lekkoatletycznego stadionu miejskiego - etap I;1500000
44;dolnośląskie;świdnicki;Gmina Miasto;Świdnica;Świdnica, ul. Śląska 33;Modernizacja hali lodowiska i pomieszczeń zaplecza obiektu lodowiska;2000000
45;dolnośląskie;świdnicki;Powiat;Świdnicki;Świebodzice, ul. Skłodowskiej-Curie 9;Budowa boiska wielofunkcyjnego;113600
46;dolnośląskie;świdnicki;Gmina;Żarów;Żarów, ul. Zamkowa;Modernizacja boiska piłkarskiego;331000
47;dolnośląskie;trzebnicki;Gmina;Oborniki Śląskie;Oborniki Śląskie, ul. J. Poniatowskiego 22;Modernizacja hali sportowej;494800
48;dolnośląskie;wałbrzyski;Gmina;Głuszyca;Głuszyca, ul. Kolejowa 8;Budowa krytej pływalni;2000000
49;dolnośląskie;wałbrzyski;Gmina;Jedlina-Zdrój;Jedlina-Zdrój, ul. Kłodzka;Budowa bieżni prostej o dł. 100 m, skateparku oraz budynku zaplecza;180000
50;dolnośląskie;wałbrzyski;Gmina;Stare Bogaczowice;Stare Bogaczowice, ul. Główna;Budowa boiska piłkarskiego o nawierzchni ze sztucznej trawy;103200
51;dolnośląskie;wałbrzyski;Gmina Miejska;Szczawno-Zdrój;Szczawno-Zdrój, ul. Sienkiewicza 28;Modernizacja sali gimnastycznej;269900
52;dolnośląskie;wałbrzyski;Gmina Miejska;Szczawno-Zdrój;Szczawno-Zdrój, ul. Słoneczna 1A;Budowa kompleksu lekkoatletycznego oraz boiska piłkarskiego;400000
53;dolnośląskie;wałbrzyski;Gmina;Wałbrzych;Wałbrzych, ul. Poznańska 8;Budowa boiska wielofunkcyjnego, siłowni zewnętrznej;137300
54;dolnośląskie;wrocławski;Gmina;Długołęka;Wilczyce;Budowa boiska wielofunkcyjnego;130000
55;dolnośląskie;wrocławski;Gmina;Długołęka;Kiełczów, ul. Szkolna 3;Budowa hali sportowej;1137100
56;dolnośląskie;ząbkowicki;Gmina;Ziębice;Henryków, ul. Polna 9;Przebudowa boiska wielofunkcyjnego;454600
57;dolnośląskie;złotoryjski;Gmina;Wojcieszów;Wojcieszów, ul. S. Żeromskiego 8;Przebudowa bieżni prostej o dł. 80 m;114900
58;kujawsko-pomorskie;aleksandrowski;Gmina;Bądkowo;Bądkowo, ul. Włocławska 13;Budowa boiska wielofunkcyjnego, bieżni prostej, skoczni do skoku w dal i rzutni do pchnięcia kulą;202200
59;kujawsko-pomorskie;brodnicki;Gmina Miasta;Brodnica;Brodnica, ul. Królowej Jadwigi 5;Budowa kompleksu lekkoatletycznego i boiska piłkarskiego;1500000
60;kujawsko-pomorskie;brodnicki;Gmina;Osiek;Strzygi;Budowa Sali gimnastycznej;645000
61;kujawsko-pomorskie;brodnicki;Gmina;Osiek;Osiek 85;Budowa boiska piłkarskiego, 2 kortów tenisowych, siłowni zewnętrznej, skateparku, placu zabaw i linarium;1132100
62;kujawsko-pomorskie;bydgoski;Powiat;Bydgoski;Karolewo 8;Przebudowa sali gimnastycznej wraz z zapleczem;243800
63;kujawsko-pomorskie;bydgoski;Gmina;Dobrcz;Kozielec 24;Budowa sali gimnastycznej;590000
64;kujawsko-pomorskie;bydgoski;Gmina;Osielsko;Żołędowo, ul. Bydgoska 24;Budowa boiska wielofunkcyjnego;160800
65;kujawsko-pomorskie;chełmiński;Gmina;Stolno;Wabcz;Budowa boiska piłkarskiego;49800
66;kujawsko-pomorskie;grudziądzki;Miasto;Grudziądz;Grudziądz, ul. Droga Mazurska 2;Budowa hali sportowej;1135800
67;kujawsko-pomorskie;inowrocławski;Gmina;Kruszwica;Kruszwica, ul. Kujawska;Budowa kompleksu lekkoatletycznego i boiska wielofunkcyjnego;400000
68;kujawsko-pomorskie;m. Bydgoszcz;Miasto;Bydgoszcz;Bydgoszcz, ul. Bałtycka 59;Przebudowa boiska wielofunkcyjnego;120000
69;kujawsko-pomorskie;m. Bydgoszcz;Miasto;Bydgoszcz;Bydgoszcz, ul. Bora-Komorowskiego 2;Budowa hali sportowej, boiska piłkarskiego, bieżni okrężnej i prostej oraz skoczni do skoku w dal;1913000
70;kujawsko-pomorskie;m. Bydgoszcz;Miasto;Bydgoszcz;Bydgoszcz, ul. Staroszkolna 12;Przebudowa boiska wielofunkcyjnego;167600
71;kujawsko-pomorskie;m. Bydgoszcz;Miasto;Bydgoszcz;Bydgoszcz;Budowa boiska wielofunkcyjnego;79100
72;kujawsko-pomorskie;m. Bydgoszcz;Miasto;Bydgoszcz;Bydgoszcz, ul. Karpacka 30;Przebudowa boiska wielofunkcyjnego;106300
73;kujawsko-pomorskie;m. Bydgoszcz;Miasto;Bydgoszcz;Bydgoszcz, ul. Gdańska 163;Przebudowa kompleksu lekkoatletycznego;867100
74;kujawsko-pomorskie;m. Bydgoszcz;Stowarzyszenie;"Cywilno-Wojskowy Związek Sportowy ""Zawisza""";Bydgoszcz, ul. Gdańska 163;Remont strzelnic 25 m i 50 m;224000
75;kujawsko-pomorskie;m. Bydgoszcz;Inny;Diecezja Bydgoska;Bydgoszcz, ul. Nowodworska 17;Budowa boiska wielofunkcyjnego;117000
76;kujawsko-pomorskie;m. Toruń;Gmina Miasta;Toruń;Toruń, ul. Batorego 39b, ul. Bolta 14;Budowa 2 boisk wielofunkcyjnych;166100
77;kujawsko-pomorskie;m. Toruń;Gmina Miasta;Toruń;"Toruń, ul. Św. Józefa 26; ul. Chrobrego 27A";Modernizacja, przebudowa krytej pływalni ZSMEiE i przebudowa budynku na salę szermierki;2351100
78;kujawsko-pomorskie;m. Włocławek;Inny;Diecezja Włocławska;Włocławek, ul. Łęgska 26;Przebudowa boiska wielofunkcyjnego i zaplecza socjalno-sanitarnego;743400
79;kujawsko-pomorskie;m. Włocławek;Gmina Miasto;Włocławek;Włocławek, ul. Chopina 12;Przebudowa sali gimnastycznej;1831400
80;kujawsko-pomorskie;m. Włocławek;Gmina Miasto;Włocławek;Włocławek, ul. Leśna 1a;Budowa boiska wielofunkcyjnego;127000
81;kujawsko-pomorskie;m. Włocławek;Gmina Miasto;Włocławek;Włocławek, ul. Żytnia 47;Budowa biezni okrężnej 4-torowej 200m, boiska do piłki ręcznej i 2 boisk do mini piłki siatkowej;353200
82;kujawsko-pomorskie;mogileński;Miasto;Mogilno;Mogilno, ul. Sądowa 13;Budowa boiska wielofunkcyjnego;94400
83;kujawsko-pomorskie;nakielski;Gmina;Szubin;Tur, ul. Bydgoska 28;Budowa boiska wielofunkcyjnego;105000
84;kujawsko-pomorskie;radziejowski;Gmina;Bytoń;Morzyce;Budowa kortu tenisowego, boiska do siatkówki plażowej i skoczni do skoku w dal;100000
85;kujawsko-pomorskie;rypiński;Gmina Miasta;Rypin;Rypin, ul. Sportowa 24;Przebudowa boiska piłkarskiego i boiska wielofunkcyjnego;1480000
86;kujawsko-pomorskie;rypiński;Gmina Miasta;Rypin;Rypin, ul. Sportowa 41;Budowa kompleksu lekkoatletyczneo;826200
87;kujawsko-pomorskie;świecki;Gmina;Świecie;Świecie, Al. Jana Pawła II/ 8;Budowa boiska wielofunkcyjnego, bieżni okrężnej 4-torowej 200 m, bieżni prostej, rzutni do pchnięcia kulą i skoczni do skoku w dal;254300
88;kujawsko-pomorskie;toruński;Gmina;Chełmża;Kończewice;Budowa boiska piłkarskiego i budynku zaplecza socjalno-sanitarnego;500000
89;kujawsko-pomorskie;toruński;Gmina Miasto;Chełmża;Chełmża, ul. Sądowa;"Modernizacja budynku zaplecza szatniowo-sanitarnego i hangarów na sprzęt pływający KS ""Włókniarz""";199700
90;kujawsko-pomorskie;toruński;Gmina;Czernikowo;Czernikowo, ul. Szkolna 15 ;Remont sali gimnastycznej;121200
91;kujawsko-pomorskie;toruński;Gmina;Lubicz;Grabowiec;Budowa boiska piłkarskiego, siłowni zewnętrznej i toru wrotkarskiego;91000
92;kujawsko-pomorskie;toruński;Gmina;Łysomice;Świerczynki;Budowa sali gimnastycznej z łącznikiem;1050000
93;kujawsko-pomorskie;toruński;Gmina;Zławieś Wielka;Przysiek, Leśna 1;Budowa sali gimnastycznej;780000
94;kujawsko-pomorskie;włocławski;Gmina;Fabianki;Szpetal Górny;Budowa sali gimnastycznej;779300
95;kujawsko-pomorskie;włocławski;Gmina;Fabianki;Chełmica Duża;Przebudowa, modernizacja kompleksu lekkoatletycznego i modernizacj aboiska piłkarskiego;900000
96;kujawsko-pomorskie;włocławski;Gmina;Włocławek;Kruszyn;Rozbudowa sali gimnastycznej;719000
97;kujawsko-pomorskie;żniński;Gmina;Barcin;Barcin, ul. Jakuba Wojciechowskiego 10;Budowa oświetlenia płyty stadionu;97100
98;lubelskie;bialski;Gmina Miejska;Biała Podlaska;Biała Podlaska, ul. Marszałka Józefa Piłsudskiego;Przebudowa boiska piłkarskiego;1307800
99;lubelskie;biłgorajski;Gmina;Biłgoraj;Sól 279;Budowa hali sportowej z zapleczem;2500000
100;lubelskie;biłgorajski;Powiat;Biłgorajski;Biłgoraj, ul. Przemysłowa 23;Przebudowa kompleksu sportowego (boisko wielofunkcyjne, boisko piłkarskie, bieżnia okrężna 3-torowa 200 m, bieżnia prosta 3-torowa 100 m, skocznia do skoku w dal, rzutnia do pchnięcia kulą);470000
101;lubelskie;biłgorajski;Gmina;Frampol;Frampol, ul. Fabryka;Przebudowa boiska piłkarskiego;373000
102;lubelskie;biłgorajski;Gmina;Łukowa;Chmielek;Budowa boiska piłkarskiego;190000
103;lubelskie;hrubieszowski;Gmina Miejska;Hrubieszów;"Hrubieszów, ul. Żeromskiego 29; ul. Ciesielczuka 2";Budowa boiska wielofunkcyjnego, boiska piłkarskiego i bieżni okrężnej przy ZS oraz skateparku i ścianku wspinaczkowej;500000
104;lubelskie;krasnicki;Powiat;Kraśnicki;Kraśnik, ul. Armii Krajowej 25;Budowa bieżni okrężnej;100000
105;lubelskie;krasnicki;Miasto;Kraśnik;"Kraśnik, ul. Żwirki i Wigury 2; ul. Oboźna 18";Budowa budynku zaplecza i oświetlenia boiska przy stadionie miejskim oraz budowa oświetlenia przy boisku;1674100
106;lubelskie;lubartowski;Gmina;Abramów;Abramów, ul. 22 lipca 31;Budowa boiska piłkarskiego;115600
107;lubelskie;lubelski;Gmina;Bychawa;Bychawa, ul. Szkolna 8;Modernizacja Sali gimnastycznej;164300
108;lubelskie;lubelski;Gmina;Konopnica;Motycz;Budowa 2 boisk: wielofunkcyjnego i do piłki nożnej, siłowni zewnętrznej;307900
109;lubelskie;lubelski;Gmina;Niemce;Jakubowice Konińskie, ul. Szkolna 69;Budowa sali gimnastycznej z zapleczem ;710000
110;lubelskie;Lublin;Szkoła/Uczelnia;Uniwersytet Marii Curie-Skłodowskiej;Lublin, ul. Langiewicza 22a;Przebudowa Pawilonu wielofunkcyjnego Klubu Uczelnianego AZS-UMCS - etap II;2000000
111;lubelskie;łęczyński;Powiat;Łęczyński;Łęczna, ul. Bogdanowicza 9;Modernizacja, budowa kompleksu boisk sportowych (boisko wielofunkcyjne i piłkarskie) i budowa bieżni okrężnej 4-torowej o długości 200 m i biezni prostej 4-torowej 100 m;699900
112;lubelskie;łukowski;Gmina;Serokomla;Serokomla, ul. Warszawska 21;Budowa budynku zaplecza socjolano-sanitarnego przy boisku wielofunkcyjnym;240000
113;lubelskie;m. Lublin;Gmina;Lublin;Lublin, ul. Przyjaźni 12;Budowa 2 boisk (piłkarskiego i wielofunkcyjnego) i bieżni prostej 4-torowej, skoczni do skoków w dal;310000
114;lubelskie;m. Lublin;Gmina;Lublin;Lublin, ul. Smyczkowa 3;Remont krytej pływalni;860000
115;lubelskie;m. Zamość;Miasto;Zamość;Zamość, ul. Orzeszkowej 43;Budowa boiska piłkarskiego;125000
116;lubelskie;m. Zamość;Miasto;Zamość;Zamość, ul. Królowej Jadwigi 8;Przebudowa istniejącego budynku na potrzeby sali ćwiczeń siłowych;242000
117;lubelskie;m.Biała Podlaska;Szkoła/Uczelnia;Państwowa Szkoła Wyższa im. Papieża Jana Pawła II;Biała Podlaska ;Modernizacja, budowa boiska piłkarskiego i budowa boiska treningowego;588000
118;lubelskie;opolski;Gmina;Opole Lubelskie;Opole Lubelskie, ul. Kolejowa 17;Przebudowa boiska piłkarskiego;2000000
119;lubelskie;opolski;Gmina;Poniatowa;Poniatowa, ul. Kraczewicka 31;Remont krytej pływalni;100000
120;lubelskie;opolski;Gmina;Wilków;Wilków 66b;Budowa sali gimnastycznej z zapleczem technicznym;1600000
121;lubelskie;parczewski;Gmina;Milanów;Milanów, ul. Szkolna, ul. Spółdzielcza;Przebudowa boiska i bieżni prostej;491300
122;lubelskie;puławski;Gmina;Puławy;Gołąb, ul. Puławska 32;Budowa sali gimnastycznej;801200
123;lubelskie;puławski;Miasto;Puławy;ul. Legionu Puławskiego 8;Budowa boiska piłkarskiego, 2 boisk wielofunkcyjnych, boiska do piłki plażowej, bieżni prostej 4-torowej do biegów na 100 m zakończonej skocznią w dal;685200
124;lubelskie;puławski;Gmina;Żyrzyn;Żyrzyn, ul. Tysiąclecia;Budowa hali sportowej;2250000
125;lubelskie;radzyński;Gmina;Borki;Stara Wieś;Przebudowa, budowa boiska piłkarskiego, budowa boiska wielofunkcyjnego, kortu tenisowego i placu zabaw;130000
126;lubelskie;rycki;Miasto;Dęblin;Dęblin, ul. 1 Maja nr 3;Budowa boiska piłkarskiego, boiska wielofunkcyjnego, bieżni prostej 60 m, skoczni do skoku w dal ;189400
127;lubelskie;susiec;Gmina;Susiec;Susiec, ul. Spółdzielcza 5;Przebudowa 2 boisk piłkarskich (w tym treningowego) i boiska wielofunkcyjnego ;2000000
128;lubelskie;świdnicki;Gmina;Rybczewice;Rybczewice Drugie;Budowa sali gimnastycznej;1300000
129;lubelskie;świdnicki;Powiat;Świdnicki;Świdnik, ul. Okulickiego 13;Budowa hali sportowej;1500000
130;lubelskie;świdnicki;Powiat;Świdnicki;Świdnik, ul. Szkolna 1;Przebudowa 2 kortów tenisowych z przykryciem halą lekkiej konstrukcji;413900
131;lubelskie;świdnicki;Gmina Miejska;Świdnik;Świdnik ul. Fabryczna 2-5;Przebudowa, budowa 4 kortów tenisowych i budowa zaplecza sanitarno-szatniowego;777200
132;lubelskie;tomaszowski;Gmina;Krynice;Krynice 9;Remont Sali gimnastycznej;100000
133;lubelskie;tomaszowski;Gmina;Tarnawatka;Tarnawatka, ul. Lubelska 62;Budowa sali gimnastycznej;3711900
134;lubelskie;włodawski;Gmina Miejska;Włodawa;Włodawa, ul. Kopernika 3;Przebudowa 2 boisk wielofunkcyjnych, bieżni prostej 60 m, skoczni do skoków w dal;518500
135;lubuskie;gorzowski;Miasto;Kostrzyn nad Odrą;Kostrzyn nad Odrą, ul. Wojska Polskiego 6;Remont hali sportowej;186680
136;lubuskie;m. Zielona Góra;Województwo;Lubuskie;Zielona Góra, Drzonków - Olimpijska 20;Modernizacja, przebudowa, rozbudowa i nadbudowa obiektu jeździeckiego - przebudowa, rozbudowa i nadbudowa hali jeździeckiej;798700
137;lubuskie;międzyrzecki;Gmina;Międzyrzecz;Głębokie;Budowa placu zabaw oraz siłowni plenerowej;100700
138;lubuskie;międzyrzecki;Gmina;Międzyrzecz;Międzyrzecz, ul. Mieczysława Mikuły 1;Przebudowa boiska piłkarskiego;590600
139;lubuskie;międzyrzecki;Gmina;Międzyrzecz;Międzyrzecz, ul. Mieczysława Mikuły 1;Budowa kompleksu lekkoatletycznego;1500000
140;lubuskie;międzyrzecki;Gmina;Pszczew;Pszczew, ul. Władysława Sikorskiego 23;Budowa hali sportowej;3772400
141;lubuskie;nowosolski;Gmina;Nowa Sól;Kiełcz;Budowa boiska wielofunkcyjnego;105100
142;lubuskie;słubicki;Gmina;Rzepin;Rzepin;Budowa Sali gimnastycznej;495990
143;lubuskie;strzelecko-drezdenecki;Gmina;Zwierzyn;"Górki Noteckie, ul. Cmentrna 5; Gościmiec 130";Budowa 2 boisk wielofunkcyjnych ;328650
144;lubuskie;sulęciński;Gmina;Lubniewice;Lubniewice, os. Słowiańskie;Modernizacja, budowa boiska wielofunkcyjnego, budowa bieżni prostej, rzutni do pchnięcia kulą, skoczni do skoku w dal i wzwyż;489180
145;lubuskie;sulęciński;Gmina;Słońsk;Słońsk, ul. Lipowa 9;Remont sali gimnastycznej z zapleczem;197600
146;lubuskie;świebodziński;Gmina;Lubrza;Buczyna;Budowa boiska wielofunkcyjnego;113400
147;lubuskie;świebodziński;Gmina;Skąpe;Ołobok, ul. Krośnieńska;Przebudowa boiska piłkarskiego i zaplecza socjalno-sanitarnego;166400
148;lubuskie;świebodziński;Gmina;Świebodzin;Świebodzin, ul. Słoneczna;Budowa boiska wielofunkcyjnego;168900
149;lubuskie;świebodziński;Powiat;Świebodziński;Świebodzin, ul. Żaków 1;Przebudowa boiska wielofunckcyjnego i 3-torowej bieżni prostej 60 m;150900
150;lubuskie;zielonogórski;Gmina;Czerwieńsk;Czerwieńsk, pl. Rynek 25;Budowa sali gimnastycznej;728800
151;lubuskie;zielonogórski;Gmina;Zabór;Zabór, ul. Akacjowa;Budowa budynku zaplecza szatniowo-sanitarnego;158200
152;lubuskie;żarski;Gmina;Żary;Żary, ul. Leśna;Przebudowa boiska wielofunkcyjnego;116100
153;lubuskie;żarski;Gmina;Żary;Żary, ul. Leśna;Budowa kompleksu lekkoatletycznego;1457000
154;łódzkie;bełchatowski;Gmina;Bełchatów;Domiechowice, ul. Grabowska 80;Budowa boiska piłkarskiego i boiska wielofunkcyjnego, 3-torowej bieżni okrężnej o długości 200 m, skoczni do skoku w dal oraz siłowni zewnętrznej ;326800
155;łódzkie;bełchatowski;Miasto;Bełchatów;Bełchatów;Budowa skateparku;485000
156;łódzkie;bełchatowski;Gmina;Zelów;Zelów, ul. Kościuszki 40/42;Budowa hali sportowej;883500
157;łódzkie;brzeziński;Miasto;Brzeziny;Brzeziny, ul. Sportowa 1;Budowa, modernizacja zaplecza sanitarno-szatniowego oraz modernizacja boiska do hokeja na trawie, treningowego boiska piłkarskiego i kortów tenisowych;228400
158;łódzkie;kutnowski;Inny;Gminne Centrum Kultury Sportu i Rekreacji w Krośniewicach;Krośniewice, ul. Łęczycka 19a;Modernizacja hali sportowej;211700
159;łódzkie;kutnowski;Gmina;Krzyżanów;Krzyżanów;Budowa boiska piłkarskiego, boiska wielofunkcyjnego, rzutni do pchnięcia kulą, zaplecza sanitarno-szatniowego;427200
160;łódzkie;łaski;Gmina;Buczek;Buczek, ul. Szkolna 3;Budowa hali sportowej;800000
161;łódzkie;łaski;Powiat;Łaski;Łask, ul. 9 Maja 28;Przebudowa, wykonanie boiska wielofunkcyjnego oraz wykonanie siłowni plenerowej;140500
162;łódzkie;łęczycki;Gmina;Daszyna;Mazew, Daszyna;Przebudowa, budowa miniboiska piłkarskiego oraz budowa skoczni do skoku w dal, boiska do siatkówki plażowej, kortu tenisowego, placu zabaw i siłowni zewnętrznej oraz przebudowa miniboiska piłkarskiego, budowa skoczni do skoku w dal, wykonanie systemu wentylacji na Sali gimnastycznej;566200
163;łódzkie;łęczycki;Gmina Miasto;Łęczyca;Łęczyca, ul. Szkolna 4, ul. Ozorkowskie Przedmieście 6c;Remont hali sportowej oraz Sali gimnastycznej oraz Sali gimnastycznej;303200
164;łódzkie;łęczycki;Gmina Miasto;Łęczyca;Łęczyca, ul. Zachodnia 23;Budowa sali gimnastycznej;754800
165;łódzkie;łowicki;Gmina;Łowicz;Wygoda;Budowa boiska piłkarskiego;129800
166;łódzkie;łowicki;Miasto;Łowicz;Łowicz, ul. Mickiewicza 1;Budowa boiska wielofunkcyjnego;145000
167;łódzkie;łódzki wschodni;Gmina;Andrespol;Stróża, ul. Tuszyńska;Rozbudowa skateparku;144900
168;łódzkie;łódzki wschodni;Gmina;Andrespol;Wiśniowa Góra, ul. Tuszyńska 32;Modernizacja sali gimnastycznej;74600
169;łódzkie;m. Łódź;Miasto;Łódź;Łódź, ul. Czajkowskiego 14;Modernizacja Sali gimnastycznej;314400
170;łódzkie;m. Łódź;Miasto;Łódź;Łódź, ul. Śląska 168;Budowa trasy wrotkowo-rolkowo-nartorolkowej oraz siłowni zewnętrznej;179000
171;łódzkie;m. Łódź;Miasto;Łódź;Łódź, ul. Skrzydlata 75;Budowa siłowni zewnętrznej, placu zabaw oraz trasy wrotkowo-rolkowo-nartorolkowej;324900
172;łódzkie;m. Łódź;Miasto;Łódź;Łódź, ul. Patriotyczna 3 i Wirowa 7a;Budowa trasy wrotkowo-rolkowo-nartorolkowej;140800
173;łódzkie;m. Skierniewice;Miasto;Skierniewice;Skierniewice;Budowa 5 siłowni zewnętrznych;161200
174;łódzkie;opoczyński;Gmina;Białaczów;Petrykozy 1;Remont dachu sali gimnastycznej oraz zaplecza sanitarno-szatniowego;97500
175;łódzkie;opoczyński;Gmina i Miasto;Drzewica;Domaszno, Radzice Duże;Przebudowa boiska wielofunkcyjnego oraz boiska wielofunkcyjnego;205000
176;łódzkie;opoczyński;Gmina;Opoczno;Opoczno, ul. Armii Krajowej 2;Przebudowa i termomodernizacja budynku z przeznaczeniem na siłownię;205900
