Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogó³em z³
205;mazowieckie;siedlecki;Gmina;Zbuczyn;Dziewule, ul. Koœcielna 10;Budowa sali gimnastycznej;230 000,00 z³
206;mazowieckie;ostro³êcki;Gmina;Baranowo;Jastrz¹bka;Budowa boiska wielofunkcyjnego;50 000,00 z³
207;mazowieckie;M. P³ock;Gmina Miasto;P³ock;P³ock, os. Borowiczki;Budowa boiska wielofunkcyjnego wraz z zapleczem sanitarno-szatniowym;150 000,00 z³
208;mazowieckie;wyszkowski;Gmina;Somianka;Wola Mystkowska;Budowa hali sportowej;240 000,00 z³
209;mazowieckie;m. Radom;Gmina Miasta;Radom;Radom, ul. D³ugojowska 10;Budowa boiska wielofunkcyjnego i terenowych urz¹dzeñ sportowych;100 000,00 z³
210;mazowieckie;m. Radom;Gmina Miasta;Radom;Radom, ul. Kusociñskiego 8;Budowa boiska wielofunkcyjnego;100 000,00 z³
211;mazowieckie;m. Radom;Gmina Miasta;Radom;Radom, ul. Krucza 2/10;Budowa boiska do pi³ki noznej;100 000,00 z³
212;mazowieckie;m. Radom;Gmina Miasta;Radom;Radom, ul. Wyœcigowa 49;Budowa boiska pi³karskiego i bie¿ni czterotorowej;100 000,00 z³
213;mazowieckie;grójecki;Gmina;Chynów;Su³kowice, ul. Ogrodowa 38A;Budowa sali gimnastycznej;540 000,00 z³
214;mazowieckie;m. st. Warszawa;Miasto;Warszawa;Warszawa, ul. Sosnkowskiego 3;Przebudowa bie¿ni na stadionie;140 000,00 z³
215;mazowieckie;m. st. Warszawa;Miasto;Warszawa/Ursus;Warszawa, ul. Keniga 20;Przebudowa boiska pi³karskiego i wielofunkcyjnego;222 200,00 z³
216;mazowieckie;legionowski;Gmina;Nieporêt;Nieporêt, ul. Dworcowa 9;Budowa Sali sportowej;980 000,00 z³
217;mazowieckie;legionowski;Gmina;Nieporêt;Izabelin, ul. Szkolna 1;Budowa boiska wielofunkcyjnego;115 000,00 z³
218;mazowieckie;piaseczyñski;Gmina;Konstancin-Jeziorna;Konstancin-Jeziorna, ul. Bielawska;Budowa boiska wielofunkcyjnego, boiska do siatkówki, skateparku, œcianki wspinaczkowej i si³owni plenerowej;185 000,00 z³
219;mazowieckie;piaseczyñski;Gmina;Konstancin-Jeziorna;Opacz, Opacz 9;Budowa Sali gimnastycznej;500 000,00 z³
220;mazowieckie;ostro³êcki;Miasto;Ostro³êka;Ostro³êka, ul. Partyzantów 3;Remont  wielofunkcyjnej hali sportowej;643 800,00 z³
221;mazowieckie;otwocki;Gmina;Karczew;Karczew, ul. Ludwika i Jana Trzaskowskich 1;Przebudowa i modernizacja boiska pi³karskiego;1 000 000,00 z³
222;mazowieckie;przasnyski;Miasto;Przasnysz;Przasnysz, ul. Kiliñskiego 1;Remont sali gimnastycznej;340 200,00 z³
223;mazowieckie;ostro³êcki;Gmina;Rzekuñ;Rzekuñ, ul. Szkolna 1;Przebudowa boiska wielofunkcyjnego  i bie¿ni;163 700,00 z³
224;mazowieckie;sochaczewski;Gmina;Teresin;Teresin, ul. XX-lecia 32;Przebudowa kompleksu lekkoatletycznego;1 000 000,00 z³
225;mazowieckie;m. st. Warszawa;Szko³a/Uczelnia;Wojskowa Akademia Techniczna im. Jaros³awa D¹browskiego w Warszawie;Warszawa, ul. Gen. Kaliskiego 2;Przebudowa i remont boiska do siatkówki, koszykówki i wielofunkcyjnego;983 100,00 z³
226;mazowieckie;m. Radom;Inny;Miejski Oœrodek Sportu i Rekreacji w Radomiu Sp. z o.o.;;Remont boiska pi³karskiego;470 300,00 z³
227;mazowieckie;miñski;Powiat;Miñski;Miñsk Mazowiecki, Gen. K. Sosnkowskiego 43;Przebudowa  boiska wielofunkcyjnego oraz bie¿ni dwutorowej wraz z terenowymi urz¹dzeniami sportowymi;145 800,00 z³
228;mazowieckie;sochaczewski;Gmina;Rybno;RYBNO, ul. Wyszogrodzka;Budowa wraz z przebudow¹ zaplecza socjalnego, boiska sportowego;1 000 000,00 z³
229;mazowieckie;makowski;Miasto;Maków Mazowiecki;Maków Mazowiecki, ul. Admira³a Rickovera 1;Przebudowa budynku si³owni;502 200,00 z³
230;mazowieckie;przysuski;Gmina;Odrzywó³;Odrzywó³, ul. Warszawska 51;Remont  hali sportowej;115 600,00 z³
231;mazowieckie;wo³omiñski;Gmina;Zielonka;Zielonka, ul. £ukasiñskiego 1/3;Przebudowa boiska na boisko pi³karskie oraz prostej;182 500,00 z³
232;mazowieckie;warszawski zachodni;Gmina;B³onie;B³onie, ul. Lesznowska 15;Remont budynku hali sportowej;290 400,00 z³
233;mazowieckie;soko³owski;Powiat;Soko³owski;Soko³ów Podlaski, ul. Sadowa 11;Remont sali gimnastycznej;101 300,00 z³
234;opolskie;nyski;Gmina;G³ucho³azy;G³ucho³azy;Budowa basenu do nauki p³ywania oraz boisk do pla¿owej pi³ki no¿nej i pi³ki siatkowej;394 457,83 z³
235;opolskie;nyski;Powiat;Nyski;Nysa, ul. Orkana 6;Budowa boiska wielofunkcyjnego;140 000,00 z³
236;opolskie;nyski;Powiat;Nyski;Nysa, ul. Sobieskiego 2;Budowa boiska wielofunkcyjnego;140 000,00 z³
237;opolskie;kêdzierzyñsko-kozielski;Gmina;Bierawa;Bierawa, ul. Koœcielna 1;Remont boiska wielofunkcyjnego i bie¿ni prostej;50 000,00 z³
238;opolskie;brzeski;Gmina;Skarbimierz;Zwanowice;Budowa boiska wielofunkcyjnego;120 000,00 z³
239;opolskie;brzeski;Gmina;Skarbimierz;Brzezina;Budowa boiska wielofunkcyjnego;120 000,00 z³
