Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
387;podlaskie;sejneński;Gmina;Giby;Giby, działka 637;Budowa hali sportowej;422 000,00
388;podlaskie;sokólski;Gmina;Suchowola;Suchowola, ul. Augustowska 2;Przebudowa boiska wielofunkcyjnego i biezni okrężnej oraz budowa urządzeń lekkoatletycznych;388 000,00
389;podlaskie;wysokomazowiecki;Gmina Miejska;Wysokie Mazowieckie;Wysokie Mazowieckie, ul. 1 Maja 14;Przebudowa boiska piłkarskiego;401 000,00
390;podlaskie;wysokomazowiecki;Gmina;Sokoły;Sokoły, ul. Kościelna 5;Budowa 2 boisk wielofunkcyjnych;86 000,00
391;podlaskie;zambrowski;Gmina Miasto;Zambrów;Zambrów, ul. Obrońców Zambrowa 6;Budowa kompleksu lekkoatletycznego;97 200,00
392;podlaskie;zambrowski;Gmina Miasto;Zambrów;Zambrów, ul. Magazynowa 13;Budowa kompleksu lekkoatletycznego;175 000,00
393;podlaskie;zambrowski;Gmina Miasto;Zambrów;Zambrów, ul. Marii Konopnickiej 13;Budowa kompleksu lekkoatletycznego;109 000,00
394;pomorskie;bytowski;Powiat;Bytowski;Łodzierz, Łodzierz 11;Budowa boiska wielofunkcyjnego;142 000,00
395;pomorskie;bytowski;Gmina;Czarna Dąbrówka;Czarna Dąbrówka;Przebudowa bieżni lekkoatletycznej, skoczni w dali i rzutni do pchnięcia kulą;146 700,00
396;pomorskie;chojnicki;Gmina;Brusy;Brusy, ul. Armii Krajowej 1;Modernizacja kompleksu lekkoatletycznego;1 300 000,00
397;pomorskie;człuchowski;Gmina Miejska;Człuchów;Człuchów, ul. Szkolna 1;Przebudowa boiska piłkarskiego wraz z budową budynku zaplecza sportowego;521 700,00
398;pomorskie;gdański;Gmina;Pruszcz Gdański;Wiślina, ul. Mostowa 5;Budowa sali gimnastycznej;700 000,00
399;pomorskie;gdański;Gmina Miejska;Pruszcz Gdański;Pruszcz Gdański, ul. Niemcewicza 1;Remont podłogi hali widowiskowo-sportowej;125 600,00
400;pomorskie;kartuski;Gmina;Stężyca;Stężyca, ul. Abrahama 1;Budowa dwóch boisk piłkarskich i bieżni lekkoatletycznej;1 817 300,00
401;pomorskie;kartuski;Gmina;Somonino;Borcz;Budowa hali gimnastycznej;700 000,00
402;pomorskie;kartuski;Gmina;Żukowo;Żukowo, ul. Książąt Pomorskich;Modernizacja boiska piłkarskiego;640 100,00
403;pomorskie;m. Gdańsk;Klub sportowy;"Morski Robotniczy Klub Sportowy ""Gdańsk""";Gdańsk, ul. Załogowa 1;Budowa sali gimnastycznej z zapleczem;800 000,00
404;pomorskie;m. Gdańsk;Miasto;Gdańsk;Gdańsk, al. Grunwaldzka 244;Budowa stadionu lekkoatletycznego wraz z boiskiem treningowym - etap I;4 539 600,00
405;pomorskie;m. Gdynia;Miasto;Gdynia;Gdynia, ul. Olimpijska;Remont budynku Hali Gier;198 700,00
406;pomorskie;m. Gdynia;Gmina Miasta;Gdynia;Gdynia, ul. Olimpijska;Remont Hali Lekkoatletycznej;216 600,00
407;pomorskie;malborski;Gmina;Malbork;Malbork, ul. Główna 5;Budowa sali gimnastycznej;1 500 000,00
408;pomorskie;malborski;Gmina;Nowy Staw;Nowy Staw, ul. Sportowa 5;Modernizacja boiska piłkarskiego i kompleksu lekkoatletycznego z bieżnią okrężną 400 m;400 000,00
409;pomorskie;malborski;Miasto;Malbork;Malbork, ul. Toruńska 60;Budowa budynku zaplecza na stadionie miejskim;1 000 000,00
410;pomorskie;malborski;Miasto;Malbork;Malbork, ul. Generała de Gaulle'a 91;Budowa kompleksu lekkoatletycznego;350 000,00
411;pomorskie;słupski;Miasto;Ustka;Ustka, ul. Darłowska 18;Budowa boiska wielofunkcyjnego;100 000,00
412;pomorskie;słupski;Gmina;Słupsk;Głobino, działka nr 138/4 i 268;Budowa boiska wielofunkcyjnego;108 900,00
413;pomorskie;starogardzki;Gmina Miejska;Starogard Gdański;Starogard Gdański, al. Jana Pawła II 4;Modernizacja/ budowa boiska wielofunkcyjnego/ nowego boiska wielofunkcyjnego i biezni lekkoatletycznej;200 000,00
414;pomorskie;starogardzki;Gmina;Zblewo;Zblewo, ul. Kościerska 20;Budowa hali widowiskowo-sportowej;1 911 100,00
415;pomorskie;starogardzki;Gmina Miejska;Starogard Gdański;Starogard Gdański, ul. Harcerska;Modernizacja boiska piłkarskiego wraz z remontem zaplecza sanitarno-szatniowego;897 700,00
416;pomorskie;sztumski;Miasto i Gmina;Sztum;Sztum, ul. Reja;Modernizacja kompleksu lekkoatletycznego;1 300 000,00
417;pomorskie;wejherowski;Gmina;Wejherowo;Bolszewo, ul. Szkolna;Budowa sali gimnastycznej, boiska piłkarskiego i boiska wielofunkcyjnego;1 000 000,00
